Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
5/1/23,1240.00,0.00,208.00,1032.00,577.23,454.77,44.07%,0.00
4/30/23,3370.00,0.00,164.00,3206.00,1598.42,1607.58,50.14%,0.00
4/29/23,3450.00,0.00,332.00,3118.00,1576.66,1541.34,49.43%,0.00
4/28/23,5810.00,0.00,436.00,5374.00,2735.35,2638.65,49.10%,0.00
4/27/23,3440.00,0.00,216.00,3224.00,1586.02,1637.98,50.81%,0.00
4/26/23,2780.00,0.00,0.00,2780.00,1542.00,1238.00,44.53%,0.00
4/25/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/24/23,2320.00,0.00,0.00,2320.00,1290.00,1030.00,44.40%,0.00
4/23/23,4500.00,0.00,0.00,4500.00,2250.00,2250.00,50.00%,0.00
4/22/23,3680.00,0.00,0.00,3680.00,1844.00,1836.00,49.89%,0.00
4/21/23,1890.00,0.00,0.00,1890.00,927.00,963.00,50.95%,0.00
4/20/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/19/23,2220.00,0.00,0.00,2220.00,1090.00,1130.00,50.90%,0.00
4/18/23,200.00,0.00,0.00,200.00,109.00,91.00,45.50%,0.00
4/17/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/16/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/15/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/14/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/13/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/12/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/11/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/10/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/9/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/8/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/7/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/6/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/5/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/4/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/3/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/2/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/1/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/31/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
