Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
1/11/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/10/25,27568.00,677.00,40.00,26851.00,5906.84,20944.16,78.00%,0.00
1/9/25,26409.00,220.00,22.00,26167.00,2552.10,23614.90,90.25%,0.00
1/8/25,30001.00,737.00,94.90,29169.10,4438.20,24730.90,84.78%,0.00
1/7/25,28583.00,1448.00,0.00,27135.00,2694.52,24440.48,90.07%,0.00
1/6/25,32562.00,2068.00,0.00,30494.00,5890.74,24603.26,80.68%,0.00
1/5/25,27671.00,0.00,18.00,27653.00,5771.80,21881.20,79.13%,0.00
1/4/25,31119.00,0.00,43.90,31075.10,6395.78,24679.32,79.42%,0.00
1/3/25,25446.00,0.00,0.00,25446.00,5858.30,19587.70,76.98%,0.00
1/2/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/1/25,23267.00,410.00,66.90,22790.10,5385.88,17404.22,76.37%,0.00
12/31/24,30477.00,839.00,156.80,29481.20,6543.51,22937.69,77.80%,0.00
12/30/24,31360.00,699.00,72.00,30589.00,7019.29,23569.71,77.05%,0.00
12/29/24,32754.00,140.00,140.00,32474.00,5918.32,26555.68,81.78%,0.00
12/28/24,25766.00,0.00,0.00,25766.00,4564.84,21201.16,82.28%,0.00
12/27/24,27794.00,178.00,27.90,27588.10,5438.85,22149.25,80.29%,0.00
12/26/24,28615.00,954.00,14.00,27647.00,5722.53,21924.47,79.30%,0.00
12/25/24,23839.00,659.00,22.00,23158.00,4640.74,18517.26,79.96%,0.00
12/24/24,15817.00,0.00,32.00,15785.00,3985.46,11799.54,74.75%,0.00
12/23/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
12/22/24,25688.00,0.00,73.00,25615.00,4525.49,21089.51,82.33%,0.00
12/21/24,25425.00,398.00,22.00,25005.00,3808.92,21196.08,84.77%,0.00
12/20/24,22593.00,669.00,0.00,21924.00,3282.30,18641.70,85.03%,0.00
12/19/24,25745.00,457.00,45.90,25242.10,4409.87,20832.23,82.53%,0.00
12/18/24,29828.00,2254.00,22.00,27552.00,3777.56,23774.44,86.29%,0.00
12/17/24,17909.00,0.00,101.90,17807.10,4144.81,13662.29,76.72%,0.00
12/16/24,27358.00,240.00,65.80,27052.20,5875.79,21176.41,78.28%,0.00
12/15/24,30247.00,0.00,63.00,30184.00,4711.48,25472.52,84.39%,0.00
12/14/24,23954.00,0.00,0.00,23954.00,4891.86,19062.14,79.58%,0.00
12/13/24,16796.00,747.00,0.00,16049.00,2455.84,13593.16,84.70%,0.00
12/12/24,24924.00,660.00,0.00,24264.00,4697.84,19566.16,80.64%,0.00
12/11/24,27464.00,240.00,81.90,27142.10,7131.41,20010.69,73.73%,0.00
12/10/24,30361.00,958.00,71.80,29331.20,5147.21,24183.99,82.45%,0.00
12/9/24,15442.00,0.00,25.90,15416.10,3747.95,11668.15,75.69%,0.00
12/8/24,23440.00,0.00,160.00,23280.00,3630.78,19649.22,84.40%,0.00
12/7/24,20707.00,0.00,57.90,20649.10,3778.78,16870.32,81.70%,0.00
12/6/24,27433.00,1325.00,29.00,26079.00,4462.22,21616.78,82.89%,0.00
12/5/24,16731.00,0.00,32.90,16698.10,3906.95,12791.15,76.60%,0.00
12/4/24,18360.00,0.00,55.80,18304.20,4101.93,14202.27,77.59%,0.00
12/3/24,16006.00,329.00,63.50,15613.50,3164.61,12448.89,79.73%,0.00
12/2/24,18146.00,339.00,22.00,17785.00,2250.50,15534.50,87.35%,0.00
12/1/24,22812.00,0.00,76.90,22735.10,4226.91,18508.19,81.41%,0.00
11/30/24,16705.00,634.00,90.80,15980.20,3266.99,12713.21,79.56%,0.00
11/29/24,14506.00,99.00,22.00,14385.00,2585.86,11799.14,82.02%,0.00
11/28/24,26403.00,1536.00,249.50,24617.50,5523.05,19094.45,77.56%,0.00
11/27/24,28056.00,558.00,112.90,27385.10,6520.61,20864.49,76.19%,0.00
11/26/24,23091.00,0.00,0.00,23091.00,4852.14,18238.86,78.99%,0.00
11/25/24,16249.00,0.00,24.90,16224.10,3254.26,12969.84,79.94%,0.00
11/24/24,26099.00,378.00,41.00,25680.00,4687.78,20992.22,81.75%,0.00
11/23/24,16773.00,528.00,0.00,16245.00,3573.21,12671.79,78.00%,0.00
11/22/24,16653.00,0.00,121.70,16531.30,3432.92,13098.38,79.23%,0.00
11/21/24,26229.00,934.00,0.00,25295.00,4449.07,20845.93,82.41%,0.00
11/20/24,26492.00,647.00,0.00,25845.00,2933.59,22911.41,88.65%,0.00
11/19/24,29675.00,1168.00,84.00,28423.00,5565.80,22857.20,80.42%,0.00
11/18/24,20282.00,918.00,53.90,19310.10,4702.30,14607.80,75.65%,0.00
11/17/24,25984.00,0.00,86.90,25897.10,5798.57,20098.53,77.61%,0.00
11/16/24,35033.00,3459.00,26.00,31548.00,5049.53,26498.47,83.99%,0.00
11/15/24,12731.00,634.00,83.70,12013.30,1669.11,10344.19,86.11%,0.00
11/14/24,19208.00,676.00,65.00,18467.00,3746.65,14720.35,79.71%,0.00
11/13/24,20967.00,240.00,25.90,20701.10,5950.36,14750.74,71.26%,0.00
11/12/24,23348.00,1184.00,132.70,22031.30,4885.82,17145.48,77.82%,0.00
11/11/24,26359.00,848.00,0.00,25511.00,5872.51,19638.49,76.98%,0.00
11/10/24,31089.00,1211.00,25.90,29852.10,4990.61,24861.49,83.28%,0.00
11/9/24,27039.00,2134.00,55.40,24849.60,5965.21,18884.39,75.99%,0.00
11/8/24,14419.00,0.00,23.90,14395.10,2430.38,11964.72,83.12%,0.00
11/7/24,26034.00,678.00,90.00,25266.00,5417.33,19848.67,78.56%,0.00
11/6/24,19285.00,1276.00,41.90,17967.10,3678.58,14288.52,79.53%,0.00
11/5/24,18203.00,0.00,190.20,18012.80,4989.37,13023.43,72.30%,0.00
11/4/24,18969.00,0.00,0.00,18969.00,2608.43,16360.57,86.25%,0.00
11/3/24,19581.00,0.00,77.80,19503.20,3558.88,15944.32,81.75%,0.00
11/2/24,17334.00,603.00,0.00,16731.00,5620.26,11110.74,66.41%,0.00
11/1/24,24812.00,1003.00,38.90,23770.10,4990.97,18779.13,79.00%,0.00
10/31/24,19135.00,310.00,57.80,18767.20,3057.00,15710.20,83.71%,0.00
10/30/24,21109.00,1676.00,135.60,19297.40,3810.77,15486.63,80.25%,0.00
10/29/24,25486.00,1815.00,128.60,23542.40,4596.14,18946.26,80.48%,0.00
10/28/24,25360.00,2115.00,46.90,23198.10,4107.05,19091.05,82.30%,0.00
10/27/24,20728.00,567.00,40.00,20121.00,4106.11,16014.89,79.59%,0.00
10/26/24,21418.00,0.00,222.01,21195.99,3898.31,17297.68,81.61%,0.00
10/25/24,21960.00,0.00,174.40,21785.60,3383.86,18401.74,84.47%,0.00
10/24/24,19521.00,0.00,108.00,19413.00,3705.14,15707.86,80.91%,0.00
10/23/24,22462.00,0.00,50.80,22411.20,4314.15,18097.05,80.75%,0.00
10/22/24,21287.00,578.00,121.70,20587.30,5486.63,15100.67,73.35%,0.00
10/21/24,18536.00,0.00,22.00,18514.00,4479.49,14034.51,75.80%,0.00
10/20/24,21536.00,0.00,62.00,21474.00,4446.93,17027.07,79.29%,0.00
10/19/24,19183.00,699.00,70.00,18414.00,3100.77,15313.23,83.16%,0.00
10/18/24,11913.00,0.00,46.80,11866.20,3057.39,8808.81,74.23%,0.00
10/17/24,17061.00,0.00,24.90,17036.10,3334.37,13701.73,80.43%,0.00
10/16/24,17575.00,219.00,0.00,17356.00,2909.61,14446.39,83.24%,0.00
10/15/24,16874.00,1107.00,0.00,15767.00,2684.46,13082.54,82.97%,0.00
10/14/24,18950.00,328.00,150.30,18471.70,4069.76,14401.94,77.97%,0.00
10/13/24,25768.00,0.00,48.00,25720.00,6642.48,19077.52,74.17%,0.00
10/12/24,20799.00,0.00,0.00,20799.00,4684.47,16114.53,77.48%,0.00
10/11/24,18993.00,199.00,0.00,18794.00,5072.99,13721.01,73.01%,0.00
10/10/24,22503.00,0.00,81.70,22421.30,5491.58,16929.72,75.51%,0.00
10/9/24,15468.00,0.00,65.80,15402.20,3294.86,12107.34,78.61%,0.00
10/8/24,23857.00,0.00,57.80,23799.20,4184.51,19614.69,82.42%,0.00
10/7/24,16556.00,0.00,90.60,16465.40,4040.62,12424.78,75.46%,0.00
10/6/24,25967.00,0.00,77.90,25889.10,5868.14,20020.96,77.33%,0.00
10/5/24,18985.00,0.00,29.90,18955.10,3830.42,15124.68,79.79%,0.00
10/4/24,17687.00,0.00,24.00,17663.00,4413.09,13249.91,75.02%,0.00
10/3/24,18659.00,0.00,99.39,18559.61,3713.94,14845.67,79.99%,0.00
10/2/24,13717.00,0.00,42.13,13674.87,2911.38,10763.49,78.71%,0.00
10/1/24,16053.00,0.00,52.50,16000.50,3155.31,12845.19,80.28%,0.00
9/30/24,17103.00,0.00,16.50,17086.50,3252.03,13834.47,80.97%,0.00
9/29/24,15273.00,0.00,89.40,15183.60,2691.32,12492.28,82.27%,0.00
9/28/24,15682.00,0.00,9.90,15672.10,3095.00,12577.10,80.25%,0.00
9/27/24,11650.00,0.00,0.00,11650.00,3021.92,8628.08,74.06%,0.00
9/26/24,14819.00,0.00,48.00,14771.00,2089.49,12681.51,85.85%,0.00
9/25/24,15127.00,0.00,0.00,15127.00,2270.62,12856.38,84.99%,0.00
9/24/24,14805.00,0.00,17.00,14788.00,2912.99,11875.01,80.30%,0.00
9/23/24,15154.00,0.00,175.30,14978.70,4057.27,10921.43,72.91%,0.00
9/22/24,16806.00,0.00,0.00,16806.00,4599.43,12206.57,72.63%,0.00
9/21/24,13437.00,0.00,47.90,13389.10,2994.04,10395.06,77.64%,0.00
9/20/24,19468.00,0.00,78.00,19390.00,3035.53,16354.47,84.34%,0.00
9/19/24,20933.00,0.00,24.00,20909.00,4651.53,16257.47,77.75%,0.00
9/18/24,12234.00,0.00,0.00,12234.00,1907.69,10326.31,84.41%,0.00
9/17/24,14778.00,0.00,24.90,14753.10,2470.32,12282.78,83.26%,0.00
9/16/24,16056.00,0.00,40.03,16015.97,3300.93,12715.04,79.39%,0.00
9/15/24,23476.00,0.00,0.00,23476.00,3453.19,20022.81,85.29%,0.00
9/14/24,20050.00,139.00,0.00,19911.00,3885.88,16025.12,80.48%,0.00
9/13/24,15424.00,0.00,0.00,15424.00,2680.47,12743.53,82.62%,0.00
9/12/24,13674.00,0.00,53.50,13620.50,2484.93,11135.57,81.76%,0.00
9/11/24,20326.00,25.00,2.50,20298.50,4898.44,15400.06,75.87%,0.00
9/10/24,21450.00,0.00,45.90,21404.10,6065.03,15339.07,71.66%,0.00
9/9/24,13725.00,0.00,0.00,13725.00,2282.45,11442.55,83.37%,0.00
9/8/24,19256.00,0.00,122.80,19133.20,4878.35,14254.85,74.50%,0.00
9/7/24,21586.00,0.00,146.50,21439.50,4459.20,16980.30,79.20%,0.00
9/6/24,18179.00,0.00,0.00,18179.00,3646.38,14532.62,79.94%,0.00
9/5/24,19963.00,99.00,62.00,19802.00,3647.40,16154.60,81.58%,0.00
9/4/24,12312.00,0.00,129.70,12182.30,2479.21,9703.09,79.65%,0.00
9/3/24,15041.00,0.00,0.00,15041.00,3888.32,11152.68,74.15%,0.00
9/2/24,20377.00,0.00,48.00,20329.00,4932.17,15396.83,75.74%,0.00
9/1/24,17883.00,0.00,0.00,17883.00,4651.28,13231.72,73.99%,0.00
8/31/24,16936.00,0.00,72.00,16864.00,5013.25,11850.75,70.27%,0.00
8/30/24,17433.00,119.00,0.00,17314.00,2241.75,15072.25,87.05%,0.00
8/29/24,17520.00,0.00,0.00,17520.00,4656.12,12863.88,73.42%,0.00
8/28/24,15442.00,0.00,77.00,15365.00,3996.77,11368.23,73.99%,0.00
8/27/24,19850.00,0.00,0.00,19850.00,4422.94,15427.06,77.72%,0.00
8/26/24,11838.00,0.00,0.00,11838.00,2945.80,8892.20,75.12%,0.00
8/25/24,15796.00,0.00,48.00,15748.00,3464.96,12283.04,78.00%,0.00
8/24/24,23881.00,0.00,75.90,23805.10,4077.33,19727.77,82.87%,0.00
8/23/24,20244.00,140.00,48.00,20056.00,5622.86,14433.14,71.96%,0.00
8/22/24,11899.00,280.00,0.00,11619.00,2254.62,9364.38,80.60%,0.00
8/21/24,12894.00,0.00,0.00,12894.00,2769.55,10124.45,78.52%,0.00
8/20/24,23014.00,0.00,0.00,23014.00,6364.89,16649.11,72.34%,0.00
8/19/24,29642.00,0.00,103.90,29538.10,7012.16,22525.94,76.26%,0.00
8/18/24,24722.00,0.00,0.00,24722.00,5637.66,19084.34,77.20%,0.00
8/17/24,21819.00,0.00,48.00,21771.00,4614.75,17156.25,78.80%,0.00
8/16/24,27478.00,219.00,48.00,27211.00,5122.01,22088.99,81.18%,0.00
8/15/24,15137.00,0.00,30.00,15107.00,2682.02,12424.98,82.25%,0.00
8/14/24,23572.00,816.00,205.70,22550.30,6200.70,16349.60,72.50%,0.00
8/13/24,16641.00,299.00,48.00,16294.00,3886.73,12407.27,76.15%,0.00
8/12/24,26642.00,0.00,0.00,26642.00,3990.96,22651.04,85.02%,0.00
8/11/24,25922.00,0.00,0.00,25922.00,4972.41,20949.59,80.82%,0.00
8/10/24,19038.00,378.00,62.00,18598.00,2568.74,16029.26,86.19%,0.00
8/9/24,20065.00,0.00,0.00,20065.00,3130.30,16934.70,84.40%,0.00
8/8/24,17437.00,0.00,46.00,17391.00,4798.84,12592.16,72.41%,0.00
8/7/24,23857.00,400.00,62.00,23395.00,5320.24,18074.76,77.26%,0.00
8/6/24,17605.00,480.00,14.00,17111.00,3711.35,13399.65,78.31%,0.00
8/5/24,22424.00,807.00,76.00,21541.00,4736.54,16804.46,78.01%,0.00
8/4/24,17105.00,140.00,46.90,16918.10,3455.29,13462.81,79.58%,0.00
8/3/24,22048.00,0.00,14.00,22034.00,4739.59,17294.41,78.49%,0.00
8/2/24,16544.00,439.00,24.00,16081.00,3173.26,12907.74,80.27%,0.00
8/1/24,25392.00,480.00,70.00,24842.00,5425.69,19416.31,78.16%,0.00
7/31/24,21879.00,0.00,64.80,21814.20,4813.16,17001.04,77.94%,0.00
7/30/24,22864.00,1427.00,60.80,21376.20,4787.78,16588.42,77.60%,0.00
7/29/24,18417.00,368.00,108.50,17940.50,3217.82,14722.68,82.06%,0.00
7/28/24,18720.00,319.00,21.90,18379.10,4364.89,14014.21,76.25%,0.00
7/27/24,22527.00,0.00,0.00,22527.00,4751.93,17775.07,78.91%,0.00
7/26/24,21584.00,0.00,48.00,21536.00,4756.91,16779.09,77.91%,0.00
7/25/24,18100.00,0.00,0.00,18100.00,4246.78,13853.22,76.54%,0.00
7/24/24,20295.00,319.00,53.90,19922.10,5718.87,14203.23,71.29%,0.00
7/23/24,10275.00,0.00,72.90,10202.10,2439.79,7762.31,76.09%,0.00
7/22/24,25377.00,0.00,0.00,25377.00,5076.30,20300.70,80.00%,0.00
7/21/24,27139.00,753.00,0.00,26386.00,7714.70,18671.30,70.76%,0.00
7/20/24,17194.00,140.00,69.90,16984.10,3626.21,13357.89,78.65%,0.00
7/19/24,15375.00,319.00,0.00,15056.00,3227.77,11828.23,78.56%,0.00
7/18/24,13915.00,1182.00,0.00,12733.00,2284.37,10448.63,82.06%,0.00
7/17/24,24081.00,480.00,48.00,23553.00,5854.61,17698.39,75.14%,0.00
7/16/24,18574.00,0.00,21.90,18552.10,3705.86,14846.24,80.02%,0.00
7/15/24,20372.00,0.00,0.00,20372.00,3029.25,17342.75,85.13%,0.00
7/14/24,20726.00,659.00,93.00,19974.00,4298.94,15675.06,78.48%,0.00
7/13/24,23701.00,638.00,0.00,23063.00,6304.73,16758.27,72.66%,0.00
7/12/24,20892.00,0.00,0.00,20892.00,4705.24,16186.76,77.48%,0.00
7/11/24,19410.00,659.00,0.00,18751.00,3423.98,15327.02,81.74%,0.00
7/10/24,22053.00,608.00,40.00,21405.00,5529.07,15875.93,74.17%,0.00
7/9/24,18131.00,0.00,86.40,18044.60,4957.90,13086.70,72.52%,0.00
7/8/24,19675.00,319.00,48.00,19308.00,4390.51,14917.49,77.26%,0.00
7/7/24,21678.00,0.00,40.00,21638.00,3765.14,17872.86,82.60%,0.00
7/6/24,20885.00,418.00,61.00,20406.00,3219.64,17186.36,84.22%,0.00
7/5/24,16792.00,1979.00,116.80,14696.20,2666.68,12029.52,81.85%,0.00
7/4/24,11041.00,0.00,24.00,11017.00,2107.36,8909.64,80.87%,0.00
7/3/24,17211.00,798.00,72.90,16340.10,3597.69,12742.41,77.98%,0.00
7/2/24,19386.00,569.00,35.00,18782.00,3388.02,15393.98,81.96%,0.00
7/1/24,18305.00,858.00,72.00,17375.00,3200.27,14174.73,81.58%,0.00
6/30/24,20058.00,280.00,0.00,19778.00,3620.26,16157.74,81.70%,0.00
6/29/24,21728.00,2314.00,38.90,19375.10,2361.46,17013.64,87.81%,0.00
6/28/24,22302.00,1187.00,40.00,21075.00,4326.55,16748.45,79.47%,0.00
6/27/24,17584.00,0.00,0.00,17584.00,3010.26,14573.74,82.88%,0.00
6/26/24,18133.00,690.00,0.00,17443.00,4169.74,13273.26,76.10%,0.00
6/25/24,14845.00,984.00,40.00,13821.00,2322.54,11498.46,83.20%,0.00
6/24/24,15588.00,460.00,0.00,15128.00,3090.73,12037.27,79.57%,0.00
6/23/24,21377.00,239.00,14.00,21124.00,3541.02,17582.98,83.24%,0.00
6/22/24,19090.00,888.00,80.90,18121.10,6166.35,11954.75,65.97%,0.00
6/21/24,14026.00,440.00,0.00,13586.00,4543.00,9043.00,66.56%,0.00
6/20/24,16861.00,1003.00,0.00,15858.00,5461.89,10396.11,65.56%,0.00
6/19/24,22240.00,1860.00,0.00,20380.00,5092.01,15287.99,75.01%,0.00
6/18/24,25605.00,408.00,48.00,25149.00,6174.02,18974.98,75.45%,0.00
6/17/24,21208.00,638.00,0.00,20570.00,6820.02,13749.98,66.84%,0.00
6/16/24,18595.00,1466.00,98.90,17030.10,4904.51,12125.59,71.20%,0.00
6/15/24,21849.00,415.00,0.00,21434.00,8362.93,13071.07,60.98%,0.00
6/14/24,25207.00,539.00,0.00,24668.00,8120.22,16547.78,67.08%,0.00
6/13/24,30147.00,6008.00,131.01,24007.99,8670.47,15337.52,63.89%,0.00
6/12/24,15820.00,0.00,0.00,15820.00,6016.98,9803.02,61.97%,0.00
6/11/24,18353.00,1658.00,0.00,16695.00,5981.96,10713.04,64.17%,0.00
6/10/24,26292.00,496.00,75.30,25720.70,7324.55,18396.15,71.52%,0.00
6/9/24,28668.00,1472.00,0.00,27196.00,8436.62,18759.38,68.98%,0.00
6/8/24,23348.00,2231.00,0.00,21117.00,6731.37,14385.63,68.12%,0.00
6/7/24,23135.00,2127.00,87.40,20920.60,6461.50,14459.10,69.11%,0.00
6/6/24,15887.00,525.00,0.00,15362.00,4496.17,10865.83,70.73%,0.00
6/5/24,21998.00,398.00,0.00,21600.00,6139.88,15460.12,71.57%,0.00
6/4/24,17230.00,569.00,0.00,16661.00,5713.40,10947.60,65.71%,0.00
6/3/24,17614.00,344.00,0.00,17270.00,5134.88,12135.12,70.27%,0.00
6/2/24,21731.00,1588.00,0.00,20143.00,5576.96,14566.04,72.31%,0.00
6/1/24,15616.00,0.00,21.90,15594.10,4609.12,10984.98,70.44%,0.00
5/31/24,7083.00,0.00,0.00,7083.00,2858.60,4224.40,59.64%,0.00
5/30/24,15649.00,0.00,30.50,15618.50,4015.97,11602.53,74.29%,0.00
5/29/24,13398.00,0.00,0.00,13398.00,4057.44,9340.56,69.72%,0.00
5/28/24,12001.00,354.00,80.00,11567.00,3636.94,7930.06,68.56%,0.00
5/27/24,14941.00,0.00,0.00,14941.00,4549.72,10391.28,69.55%,0.00
5/26/24,24676.00,917.00,94.00,23665.00,5606.96,18058.04,76.31%,0.00
5/25/24,22841.00,419.00,101.90,22320.10,7391.50,14928.60,66.88%,0.00
5/24/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
5/23/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
5/22/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
5/21/24,16181.00,693.00,24.00,15464.00,4919.74,10544.26,68.19%,0.00
5/20/24,20937.00,469.00,72.00,20396.00,7158.74,13237.26,64.90%,0.00
5/19/24,20261.00,1045.00,0.00,19216.00,6131.44,13084.56,68.09%,0.00
5/18/24,22146.00,398.00,24.00,21724.00,5975.07,15748.93,72.50%,0.00
5/17/24,17576.00,0.00,0.00,17576.00,6097.09,11478.91,65.31%,0.00
5/16/24,16291.00,0.00,0.00,16291.00,6651.74,9639.26,59.17%,0.00
5/15/24,17338.00,339.00,0.00,16999.00,6010.87,10988.13,64.64%,0.00
5/14/24,20196.00,609.00,48.00,19539.00,6268.57,13270.43,67.92%,0.00
5/13/24,15329.00,0.00,72.00,15257.00,4452.80,10804.20,70.81%,0.00
5/12/24,24239.00,788.00,272.43,23178.57,7189.17,15989.40,68.98%,0.00
5/11/24,21257.00,850.00,121.61,20285.39,6734.06,13551.33,66.80%,0.00
5/10/24,18305.00,939.00,0.00,17366.00,5793.42,11572.58,66.64%,0.00
5/9/24,20116.00,319.00,0.00,19797.00,6322.26,13474.74,68.06%,0.00
5/8/24,20218.00,0.00,72.00,20146.00,6343.22,13802.78,68.51%,0.00
5/7/24,10482.00,0.00,0.00,10482.00,3354.95,7127.05,67.99%,0.00
5/6/24,19209.00,0.00,24.00,19185.00,6716.64,12468.36,64.99%,0.00
5/5/24,14193.00,0.00,0.00,14193.00,4580.11,9612.89,67.73%,0.00
5/4/24,23694.00,1209.00,0.00,22485.00,6579.31,15905.69,70.74%,0.00
5/3/24,19269.00,0.00,0.00,19269.00,6585.73,12683.27,65.82%,0.00
5/2/24,22339.00,3333.00,40.00,18966.00,5472.07,13493.93,71.15%,0.00
5/1/24,20699.00,434.00,0.00,20265.00,6719.99,13545.01,66.84%,0.00
4/30/24,17746.00,0.00,0.00,17746.00,6497.82,11248.18,63.38%,0.00
4/29/24,13679.00,190.00,72.00,13417.00,3878.73,9538.27,71.09%,0.00
4/28/24,16412.00,0.00,48.00,16364.00,5999.72,10364.28,63.34%,0.00
4/27/24,22200.00,0.00,0.00,22200.00,7527.71,14672.29,66.09%,0.00
4/26/24,16491.00,0.00,0.00,16491.00,5656.40,10834.60,65.70%,0.00
4/25/24,16909.00,0.00,129.00,16780.00,5232.49,11547.51,68.82%,0.00
4/24/24,16283.00,0.00,0.00,16283.00,5346.97,10936.03,67.16%,0.00
4/23/24,17580.00,1236.00,72.00,16272.00,4225.26,12046.74,74.03%,0.00
4/22/24,21916.00,837.00,0.00,21079.00,8141.11,12937.89,61.38%,0.00
4/21/24,24646.00,697.00,120.00,23829.00,8730.56,15098.44,63.36%,0.00
4/20/24,18859.00,308.00,0.00,18551.00,6960.95,11590.05,62.48%,0.00
4/19/24,17669.00,534.00,0.00,17135.00,5705.56,11429.44,66.70%,0.00
4/18/24,22788.00,0.00,72.00,22716.00,8326.37,14389.63,63.35%,0.00
4/17/24,14136.00,180.00,0.00,13956.00,3887.47,10068.53,72.14%,0.00
4/16/24,17669.00,400.00,0.00,17269.00,5926.29,11342.71,65.68%,0.00
4/15/24,19285.00,519.00,25.00,18741.00,5933.27,12807.73,68.34%,0.00
4/14/24,14139.00,0.00,240.00,13899.00,3425.33,10473.67,75.36%,0.00
4/13/24,20715.00,0.00,40.50,20674.50,5054.56,15619.94,75.55%,0.00
4/12/24,22048.00,0.00,120.00,21928.00,4799.43,17128.57,78.11%,0.00
4/11/24,18432.00,606.00,29.90,17796.10,4920.20,12875.90,72.35%,0.00
4/10/24,21962.00,1196.00,24.00,20742.00,5570.52,15171.48,73.14%,0.00
4/9/24,14012.00,0.00,0.00,14012.00,4101.66,9910.34,70.73%,0.00
4/8/24,21731.00,160.00,0.00,21571.00,5801.32,15769.68,73.11%,0.00
4/7/24,18378.00,0.00,29.80,18348.20,5010.51,13337.69,72.69%,0.00
4/6/24,18541.00,388.00,0.00,18153.00,5113.39,13039.61,71.83%,0.00
4/5/24,10814.00,0.00,21.90,10792.10,2926.02,7866.08,72.89%,0.00
4/4/24,22699.00,1540.00,126.00,21033.00,6069.38,14963.62,71.14%,0.00
4/3/24,19292.00,518.00,0.00,18774.00,4868.22,13905.78,74.07%,0.00
4/2/24,21432.00,0.00,0.00,21432.00,5915.27,15516.73,72.40%,0.00
4/1/24,20846.00,289.00,72.00,20485.00,5386.03,15098.97,73.71%,0.00
3/31/24,20785.00,309.00,0.00,20476.00,4535.76,15940.24,77.85%,0.00
3/30/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/29/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/28/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/27/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/26/24,20384.00,0.00,26.00,20358.00,4643.33,15714.67,77.19%,0.00
3/25/24,19008.00,604.00,50.50,18353.50,5362.84,12990.66,70.78%,0.00
3/24/24,17526.00,0.00,21.90,17504.10,4120.89,13383.21,76.46%,0.00
3/23/24,15363.00,0.00,0.00,15363.00,4189.94,11173.06,72.73%,0.00
3/22/24,20064.00,0.00,0.00,20064.00,6086.36,13977.64,69.67%,0.00
3/21/24,20125.00,1280.00,72.00,18773.00,4458.48,14314.52,76.25%,0.00
3/20/24,20729.00,494.00,0.00,20235.00,5680.51,14554.49,71.93%,0.00
3/19/24,17239.00,1017.00,0.00,16222.00,4118.66,12103.34,74.61%,0.00
3/18/24,21832.00,959.00,40.00,20833.00,6072.01,14760.99,70.85%,0.00
3/17/24,23110.00,320.00,27.00,22763.00,6181.29,16581.71,72.85%,0.00
3/16/24,19216.00,0.00,0.00,19216.00,6099.91,13116.09,68.26%,0.00
3/15/24,15540.00,0.00,53.70,15486.30,4524.18,10962.12,70.79%,0.00
3/14/24,18691.00,249.00,48.90,18393.10,4976.17,13416.93,72.95%,0.00
3/13/24,19517.00,977.00,0.00,18540.00,5631.79,12908.21,69.62%,0.00
3/12/24,21602.00,998.00,72.00,20532.00,5780.34,14751.66,71.85%,0.00
3/11/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/10/24,17510.00,1461.00,0.00,16049.00,4277.77,11771.23,73.35%,0.00
3/9/24,25217.00,528.00,72.00,24617.00,7750.85,16866.15,68.51%,0.00
3/8/24,17330.00,0.00,0.00,17330.00,5229.21,12100.79,69.83%,0.00
3/7/24,18316.00,629.00,56.00,17631.00,5382.49,12248.51,69.47%,0.00
3/6/24,19931.00,1117.00,53.20,18760.80,5159.68,13601.12,72.50%,0.00
3/5/24,16565.00,165.00,0.00,16400.00,5270.31,11129.69,67.86%,0.00
3/4/24,25508.00,0.00,98.70,25409.30,5693.98,19715.32,77.59%,0.00
3/3/24,24041.00,0.00,31.90,24009.10,6524.34,17484.76,72.83%,0.00
3/2/24,21029.00,1028.00,113.40,19887.60,4958.12,14929.48,75.07%,0.00
3/1/24,16540.00,0.00,41.00,16499.00,4701.33,11797.67,71.51%,0.00
2/29/24,14107.00,0.00,0.00,14107.00,4821.11,9285.89,65.82%,0.00
2/28/24,13549.00,1476.00,24.00,12049.00,4317.09,7731.91,64.17%,0.00
2/27/24,14447.00,599.00,0.00,13848.00,4418.26,9429.74,68.09%,0.00
2/26/24,21616.00,0.00,164.90,21451.10,5377.61,16073.49,74.93%,0.00
2/25/24,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/24/24,15406.00,0.00,37.80,15368.20,4691.99,10676.21,69.47%,0.00
2/23/24,16493.00,140.00,123.00,16230.00,4946.50,11283.50,69.52%,0.00
