Date,Store,POS,Shift number,Type,Employee,Comment,Amount
7/3/25 1:53 AM,Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),538,Payout,Cashier Night Shift,,2025.00
7/3/25 1:53 AM,Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),538,Payout,Cashier Night Shift,"For transfer ",15.00
