Modifier name,Option name,Quantity sold,Gross sales,Quantity refunded,Refunds,Net sales
Burger Extra Options ตัวเลือกเบอร์เกอร์,🐄Animal Style (🛑No Salad 🛑No Tomatos),2.000,0.00,0.000,0.00,0.00
Burger Extra Options ตัวเลือกเบอร์เกอร์,🥓 Crispy Bacon,3.000,120.00,0.000,0.00,120.00
Burger Extra Options ตัวเลือกเบอร์เกอร์,🧀 Double Cheese,3.000,120.00,0.000,0.00,120.00
Drink Options (Sets),Bottle Water,1.000,0.00,0.000,0.00,0.00
Drink Options (Sets),Coke,2.000,0.00,0.000,0.00,0.00
Drink Options (Sets),Coke Zero,5.000,0.00,0.000,0.00,0.00
Drink Options (Sets),Fanta Orange,1.000,0.00,0.000,0.00,0.00
🛑🛑 PLEASE NO 🛑🛑,❌ 🥬 NO SALAD (ไม่ใส่สลัด)❌,1.000,0.00,0.000,0.00,0.00
