"Who is Completing Form?: ","Shift? ","Todays Date:","Cash at Start of Shift","Grab?","Food Panda?","Aroi Dee?","QR / Scan?","Cash Sales?","Total Sales Amount:","Salary / Wages","Shopping","Gas Expense","Description of all Items","Total Expenses (Salary+Shopping+Gas+Other)","Total Cash in the Register","How Many Burger Buns In Stock?","How Many Rolls Ordered?","Weight of Burger Meat","Salad ","Tomatos ","White Cabbage ","Purple Cabbage ","Onions ","Mayonnaise","Mustard","Cajun Spice ","Dill Pickles","Sweet Pickles ","Crispy Fried Onions ","BBQ Sauce (Smokey)","Bacon Short","Bacon Long ","Sweet Potato Fries ","Cheese ","Chicken Nuggets ","Onion Rings ","French Fries ","Jalapenos ","Ketchup","Chili Sauce (Sriracha) ","Oil (Fryer)","BBQ Sauce","Pepper","Salt ","Coke","Coke Zero","Schweppes Manow","Fanta Strawberry","Orange Fanta","Sprite","Kids Apple Juice","Kids Orange","Soda Water","Bottle Water","Clear Food Wrap","Aluminum Foil ","Plastic Hand Gloves (Meat) ","Rubber Gloves (Small)","Rubber Gloves (Medium)","Rubber Gloves (Large)","Alcohol Sanitiser ","Dish Washing Liquid ","Paper Towel (Long) ","Sponge (dish washing) ","Paper Towel (Short) ","Rolls Sticky Tape","Any Other Items (Not Listed)","French Fries Box","French Fries Paper","Paper Food Bags","Fork & Knife Set","Loaded Fries Boxes","Burger Paper (12 x 14) ","Wooden Flag Skewers","Printer Rolls","Takeaway Sauce Containers &","Coleslaw Container","Plastic Carry Bags","Packaging Labels","Packaging Other (Not Listed Above)","Confirm that you have ordered Rolls?","Timezone","Submission Date","URL"
"Ael","","2025-06-21","2500.00","7050.00","0.00","0.00","2999.00","2672.00","12721.00","2700.00","107.00","0.00","Flour butter ","2807.00","2500.00",142,0,5760,2,2,1,1,2,0,0,0,4,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,0,33,17,21,18,21,19,18,35,18,12,0,0,0,0,0,0,0,0,0,0,0,0,"Butter 2","0",0,0,0,0,0,0,0,0,0,0,0," 0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jun 22nd 2025, 2:09 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-20","2500.00","13683.00","0.00","0.00","0.00","4228.00","17911.00","2700.00","95.00","480.00","For transfer 15","3290.00","3438.00",36,150,3330,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,2,2,0,4,2,1,0,0,0,0,0,16,22,22,21,21,19,18,35,19,17,0,0,2,0,1,1,0,0,0,0,0,0,"Garbage bags 2","2",0,0,0,0,0,0,0,0,0,2,0,"6×14=2
8×16=2","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 21st 2025, 2:12 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-19","2500.00","4886.00","0.00","0.00","379.00","3906.00","9171.00","2700.00","69.00","0.00","For transfer 15","2784.00","3622.00",71,0,11970,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,20,23,17,17,13,12,35,19,22,0,0,0,0,0,0,0,0,0,0,0,0,"Butter 3","0",0,0,1,0,0,0,0,2,0,0,0," 0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jun 20th 2025, 2:00 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-18","2500.00","5037.00","0.00","0.00","2911.00","5208.00","13156.00","2700.00","0.00","0.00","For transfer 15","2715.00","4989.00",37,40,5040,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,16,23,17,18,18,18,13,35,21,15,0,0,0,0,0,0,0,0,2,0,0,0,"Flour for onion rings  2","0",2,0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 19th 2025, 2:10 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-17","2500.00","9929.00","0.00","0.00","1156.00","5054.00","16139.00","2400.00","179.00","0.00","Onion flour ","2579.00","4575.00",32,50,12060,1,1,0,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,27,24,18,18,19,18,13,36,21,10,0,0,0,0,0,2,0,0,0,0,0,0,"Chicken for burger 3
Butter 3","2","",0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 18th 2025, 2:24 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-16","2500.00","7240.00","0.00","0.00","2475.00","4505.00","14220.00","2700.00","429.00","480.00","For transfer 15","3624.00","3381.00",23,70,2610,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,2,0,0,0,14,28,14,13,20,11,14,38,22,9,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,0,0,0,0,0,"Chicken for burger =2","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 17th 2025, 2:16 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-15","2500.00","8144.00","0.00","0.00","2065.00","5782.00","15991.00","2700.00","74.00","0.00","For transfer 15","2789.00","5493.00",73,0,8820,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,22,27,17,15,21,12,15,40,22,20,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 16th 2025, 2:12 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-13","2500.00","9678.00","0.00","0.00","2985.00","6533.00","19196.00","2100.00","164.00","0.00","0","2264.00","6769.00",36,170,4050,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,41,20,22,23,26,16,11,13,26,0,0,0,0,0,2,0,0,2,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0," Chicken 3","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 14th 2025, 2:15 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-11","2500.00","12808.00","0.00","0.00","3084.00","5811.00","21703.00","2700.00","162.00","480.00","For transfer 15","3357.00","4954.00",17,100,5310,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,2,3,0,6,1,1,0,1,0,0,0,0,20,18,19,23,18,18,34,12,8,1,0,0,0,1,1,"",0,0,0,0,0,"0","2",0,0,0,0,2,0,2,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 12th 2025, 2:13 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-10","2500.00","10259.00","0.00","0.00","739.00","6490.00","17488.00","2700.00","255.00","480.00","For transfer 15","3450.00","5540.00",13,80,7470,2,2,0,0,0,0,0,0,20,0,0,0,0,0,0,2,3,0,6,0,1,0,1,0,0,0,22,27,19,20,24,21,18,34,15,11,0,0,0,0,0,0,0,0,1,0,0,0,"Flour for onion rings ","4",2,0,0,0,2,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 11th 2025, 2:08 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-09","2500.00","11702.00","0.00","0.00","1118.00","4606.00","17426.00","2700.00","0.00","0.00","For transfer 15","2715.00","4391.00",77,20,8910,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,1,0,1,0,0,0,16,24,23,20,13,23,13,34,15,18,0,0,0,0,0,0,0,0,0,0,0,0,"Butter 3
Plastic bag 4×11 3","0",0,0,0,0,0,0,0,3,0,0,0," 0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 10th 2025, 2:12 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-08","2500.00","7560.00","0.00","0.00","678.00","5228.00","13466.00","2700.00","0.00","0.00","For transfer 15","2715.00","5013.00",96,20,9450,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,"",0,0,0,0,0,0,21,17,25,20,15,18,15,38,10,22,0,0,0,0,0,0,0,0,0,0,0,0,"Flour for fried onions 
","0",0,0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 9th 2025, 2:07 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-07","2500.00","8421.00","0.00","0.00","1888.00","6164.00","16473.00","2100.00","849.00","0.00","0","2949.00","5715.00",147,0,8370,2,2,0,0,1,2,1,0,4,0,0,0,0,1,0,5,0,0,2,0,0,0,1,0,0,0,18,21,25,15,11,12,16,15,12,12,0,0,0,0,0,2,0,0,0,0,0,0," 0","2",0,0,0,0,0,0,0,0,0,0,0,"0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jun 8th 2025, 2:19 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-06","2500.00","8668.00","0.00","0.00","1338.00","3805.00","13811.00","2050.00","0.00","0.00","For transfer 15","2065.00","4240.00",46,60,9630,2,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,29,25,27,16,15,13,18,39,13,9,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,30,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 7th 2025, 2:12 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-05","2500.00","22974.00","0.00","0.00","1316.00","4965.00","29225.00","2700.00","770.00","0.00","Oil 
Ketchup 
Coke Coke zero Fanta ","3485.00","4000.00",16,100,810,3,2,1,0,0,2,0,0,4,0,0,0,0,0,3,0,3,0,2,0,1,1,1,0,0,0,11,11,15,16,6,2,12,39,13,3,0,0,0,0,0,1,0,0,0,0,0,0,"Butter 1","2",0,0,0,2,0,0,0,1,0,2,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 6th 2025, 2:07 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-03","2500.00","9607.00","0.00","0.00","1527.00","2527.00","13710.00","1900.00","0.00","480.00","Gas","2380.00","2647.00",45,65,14040,2,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,18,14,16,17,13,11,13,40,11,9,0,0,0,0,0,2,0,0,0,0,0,0,"Chicken for burger 2","0",0,0,0,0,0,0,0,0,0,0,0,"Tape ","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 4th 2025, 2:12 am","https://www.smashbrosburgers.com/stock-ordering-items"
